Date,Product_ID,Sales_Amount,Region,Sales_Rep
2023-06-14,203,4518,West,Alice
2023-05-08,280,4152,East,Sarah
2024-03-06,236,1570,East,James
2024-08-14,158,426,South,Anita
2024-08-03,203,4895,East,Ravi
2023-03-01,209,2189,East,Ravi
2023-01-13,224,1905,South,Alice
2023-09-28,165,4857,South,Ravi
2024-07-23,256,4354,West,John
2024-03-31,200,1747,North,Sarah
2024-09-13,127,3442,South,Maria
2024-06-04,256,1758,East,Anita
2024-06-04,163,3188,North,James
2024-02-27,196,4296,South,Sarah
2024-07-12,265,1342,South,James
2024-03-11,232,3580,West,Sarah
2023-05-21,180,1399,North,David
2024-10-02,112,4942,West,Anita
2023-07-08,183,2386,East,John
2023-03-20,299,3783,South,James
2024-02-18,199,3863,East,Alice
2023-03-25,201,1857,West,Maria
2024-12-06,191,4642,South,Sarah
2023-10-15,232,1467,East,Maria
2023-12-20,284,3429,South,Alice
2024-12-21,213,1004,South,James
2024-11-27,232,2033,South,Alice
2024-11-30,246,337,East,Ravi
2023-01-20,244,2440,South,Alice
2023-11-21,233,2285,East,James
2023-09-05,293,4904,South,Anita
2023-05-24,187,3545,South,Alice
2024-12-17,187,3881,West,Anita
2023-04-11,247,2100,West,Sarah
2024-09-26,176,4311,North,Ravi
2023-10-22,159,4004,South,Alice
2023-09-06,219,229,East,John
2024-05-23,291,3881,East,James
2023-05-07,137,2418,North,Maria
2024-05-19,141,2312,East,Ravi
2023-12-31,169,341,South,Maria
2023-05-03,198,3521,East,John
2023-09-26,193,3436,South,Sarah
2024-02-04,251,3726,South,Ravi
2024-04-04,247,1779,South,James
2024-11-12,171,1158,East,Maria
2023-06-28,173,928,East,James
2023-09-22,165,3339,South,Maria
2024-04-22,138,2051,North,David
2023-02-08,196,2122,South,Ravi
2023-08-17,269,4257,South,James
2024-05-31,233,4202,North,David
2023-02-05,297,308,South,John
2024-12-07,151,4542,North,John
2023-07-25,244,1531,West,Alice
2023-12-29,214,4527,West,Maria
2023-08-30,249,686,North,Ravi
2023-03-23,295,4184,West,David
2023-04-14,143,4041,West,Sarah
2024-07-29,261,475,East,David
2023-06-18,207,2558,West,David
2023-01-24,267,4910,South,Ravi
2023-12-01,264,1839,West,John
2023-01-01,122,924,South,Ravi
2024-04-24,202,4515,West,Maria
2024-12-05,158,3700,North,Alice
2024-11-12,124,1969,East,Sarah
2023-11-03,207,4339,North,Maria
2024-01-10,252,4299,South,Anita
2024-05-04,183,3844,West,Maria
2023-09-10,197,3069,North,David
2024-08-23,200,3049,South,Ravi
2023-05-16,124,4661,South,Maria
2023-01-22,216,1286,South,Sarah
2024-10-31,204,1502,West,Ravi
2023-04-25,203,4010,North,Sarah
2024-05-11,112,756,West,John
2023-08-04,109,3452,East,Maria
2023-02-01,108,732,West,David
2024-08-02,180,2674,West,John
2023-01-07,204,2074,South,Anita
2023-10-19,243,2217,North,James
2023-03-18,183,2624,West,Alice
2023-06-02,145,1872,East,Ravi
2023-06-30,270,4349,South,David
2024-03-03,268,1340,East,David
2023-09-12,198,1014,South,David
2023-10-05,140,2673,North,James
2024-09-21,263,1751,North,Alice
2024-09-27,169,3577,North,Alice
2024-09-20,168,1560,West,Anita
2023-04-17,155,906,East,Alice
2023-01-14,212,688,South,Maria
2024-10-06,207,3739,North,Alice
2024-04-20,250,1063,South,Anita
2023-01-09,272,3561,West,Ravi
2024-11-22,277,3391,South,Alice
2024-02-28,148,3162,West,Ravi
2023-11-12,186,2092,North,David
2023-03-21,292,4193,East,Maria
2023-02-10,176,2957,North,James
2023-05-20,284,3883,South,John
2024-06-14,125,1674,South,Ravi
2024-08-09,249,1624,South,Ravi
2024-04-22,145,1072,East,John
2023-04-24,244,3393,West,Ravi
2023-10-29,227,4014,East,James
2023-01-18,114,699,East,Maria
2023-07-26,261,2768,South,Sarah
2023-02-10,111,890,North,David
2024-09-13,105,1977,East,John
2023-07-14,115,3410,North,John
2023-02-09,145,4591,North,Maria
2023-12-09,147,3602,West,Alice
2024-05-21,217,4476,East,Maria
2024-09-11,204,1654,East,Sarah
2023-03-10,232,2809,East,David
2023-09-07,125,2516,West,James
2023-08-23,274,3408,North,Alice
2024-07-24,276,2570,North,James
2023-04-16,177,4225,East,David
2023-09-16,128,1464,West,Anita
2023-08-07,125,620,South,Alice
2024-08-04,138,2141,North,Anita
2024-01-09,182,2703,South,Sarah
2023-04-01,187,3018,West,Alice
2024-01-04,101,1341,East,John
2024-07-30,152,4781,East,James
2024-01-19,186,809,North,Maria
2023-07-14,164,2060,West,Ravi
2023-05-08,278,2054,East,James
2023-06-19,144,4163,South,James
2023-04-20,224,4326,East,David
2024-10-13,273,3196,North,James
2024-01-12,154,663,North,Alice
2024-09-15,284,4907,West,Sarah
2023-03-18,296,751,North,Alice
2024-10-05,121,4115,South,Maria
2024-11-30,203,4499,South,Ravi
2023-09-23,291,3567,West,John
2023-01-04,163,4224,South,Anita
2023-03-04,101,4558,North,Sarah
2024-07-17,114,1425,South,John
2024-05-07,104,4108,North,John
2023-01-29,216,3659,North,Maria
2023-02-14,230,1190,South,James
2024-10-26,179,3141,West,Alice
2024-06-26,155,2341,North,Sarah
2023-01-05,148,4449,West,David
2023-08-21,220,3523,West,David
2024-01-04,256,1099,South,James
2024-04-11,230,1768,West,Alice
2024-07-10,192,4999,West,Anita
2023-05-02,175,4949,East,Ravi
2023-12-02,234,3206,East,Ravi
2023-04-06,181,1633,South,Anita
